name,ring,quadrant,isNew,moved,description
Vault,use,tools,FALSE,,In part replaced with SOPS - should follow up with platform on guidelines when vault is still needed.
OpenVPN,use,tools,FALSE,,
Make files,use,tools,FALSE,,
Cypress,use,tools,FALSE,,
Jest,use,tools,FALSE,,
Airflow,use,tools,FALSE,,
Storybook,use,tools,FALSE,,Design System Page flora.ecosia.org
mbt,use,tools,FALSE,,Looking for a replacement as is not anymore mantained - needs a follow up.
cookiecutter,use,tools,FALSE,,
Loki,use,tools,FALSE,,
Alertmanager,use,tools,FALSE,,
Webpack,use,tools,FALSE,,
Helmfile,use,tools,FALSE,,
Jsonnet,use,tools,FALSE,,Might be dropped. Potentially replaced by Kustomize.
dbt,use,tools,TRUE,,dbt (data building tool) is a command-line tool that enables data analysts and engineers to transform data simply by writing SQL statements (it also includes some jinja templating for implementing testing logic)
poetry,use,tools,TRUE,,Python packaging and dependency management made easy (https://github.com/python-poetry/poetry)
Zephyr,use,tools,TRUE,,Testing management tool integrated with Jira.
Github Actions,use,tools,TRUE,,"In use in several repos, often together with Circle CI or other tools. GitHub actions offer free credits for open source projects."
BrowserStack,use,tools,FALSE,,Simulate different web browser/OS/devices/versions both for manual tests and automation
TypeScript,trial,languages & frameworks,FALSE,,Used in only one external project for now
Zurb for emails,trial,languages & frameworks,FALSE,,
Django (for internal data entry tools only),trial,languages & frameworks,FALSE,,
Django REST Framework/Fast API,trial,languages & frameworks,TRUE,,Explore python based web development alterantives for rapid prototypes as well as robust generic web applications
Cloudflare Access + Teams,trial,platforms,TRUE,,"Used to protect internal services (Grafana, Flora, etc) as VPN alternative"
Architectural Decision records,trial,techniques,TRUE,,https://ecosia.atlassian.net/wiki/spaces/DEV/pages/2092761226/Architectural+Decision+Records
Kustomize,trial,tools,FALSE,,
Redash,trial,tools,TRUE,,"Explore, query, visualize, and share data from any data sources (https://github.com/getredash/redash)"
Amazon Redshift Spectrum,trial,tools,TRUE,,Perform SQL queries from a Reshift cluster on data stored in S3 buckets
Selenium webdriver,trial,tools,TRUE,,"Used for E2E automation testing. https://www.selenium.dev/documentation/webdriver/
Might drop it soon in favour of Nightwish"
Nightwatch,trial,tools,TRUE,,"Potentially a replacement/wrapper for Selenium, currently in trial for the web-extension"
Kotlin (for Android),assess,languages & frameworks,FALSE,,First attempts to use it inside of our current Chromium project didn't succeed
"Go web framework (e.g. gin, martini, ...)",assess,languages & frameworks,TRUE,,
AWS Aurora DB,assess,platforms,FALSE,,"Could be re-assessed for cross-region data syncronization. Heavily
 depends on the R/W access patterns and how they're geographically distributed."
AWS SageMaker Deployment,assess,platforms,TRUE,,
AWS SageMaker Studio Lab,assess,platforms,TRUE,,
"Serverless options (to be evaluated) 
AWS Lambda+API Gateway, etc.",assess,platforms,TRUE,,
Snowplow Server-side Events,assess,techniques,TRUE,,
Managed Prometheus,assess,tools,TRUE,,Added to reflect platform roadmap.
Managed Grafana,assess,tools,TRUE,,Added to reflect platform roadmap.
Tilt,assess,tools,FALSE,,Local development with Kubernetes: https://tilt.dev/
Pants,assess,tools,TRUE,,"Build orchestration tool. https://www.pantsbuild.org/ 
Potential replacement for mbt. "
jaeger,assess,tools,FALSE,,
Papermill,assess,tools,TRUE,,https://github.com/nteract/papermill for Jupyter notebook parametrisation and execution
XCode Cloud,assess,tools,TRUE,,https://developer.apple.com/xcode-cloud/
Airbyte,assess,tools,TRUE,,"Tool to sync data from applications, APIs & databases to warehouses, lakes & other destinations - https://github.com/airbytehq/airbyte"
Applitools Eyes,assess,tools,TRUE,,"""The World's Most Intelligent Automated Testing Platform, Powered by Visual AI"" https://applitools.com/products-eyes/"
pip env,drop,languages & frameworks,FALSE,OUT,Moved to drop in favour of poetry
PySpark,drop,languages & frameworks,FALSE,OUT,
Backbone + jQuery,drop,languages & frameworks,FALSE,,Used only in some of our legacy applications that we plan to decommission
Strapi,drop,languages & frameworks,FALSE,OUT,"CMS for landing pages. 
Should potentially be replaced with a managed CMS in the future. Alternative to be assessed."
Nginx / open resty,drop,platforms,FALSE,OUT,I'm not sure: are we thinking to replace usages with ALBs?
AWS SageMaker,drop,platforms,FALSE,OUT,"We tried it and don't want to adopt the whole SageMaker solution. 
Picked only the good parts to be re-assessed."
Luigi,drop,tools,FALSE,,to be replaced by Airflow
Gulp,drop,tools,FALSE,,To be replaced by Webpack
